kepid,segno,period_inj,depth,epoch,MES_expect,MES_scaled,ntransits,BLS_Period,BLS_Tc,BLS_SN,BLS_SR,BLS_SDE,BLS_Depth,BLS_Qtran,BLS_Qingress,BLS_OOTmag,BLS_i1,BLS_i2,BLS_deltaChi2,BLS_fraconenight,BLS_Npointsintransit,BLS_Ntransits,BLS_Npointsbeforetransit,BLS_Npointsaftertransit,BLS_Rednoise,BLS_Whitenoise,BLS_SignaltoPinknoise,detect_distance
10015937 , 0 , 59.6585348 , 1043.8 , 168.08764 , 21.2 , 2.94410791728 , 23.466885412 , 12.90059988 , 943.654007784 , 5.03506 , 8e-05 , 5.59298 , 0.0009 , 0.01033 , 0.2519 , 9.99997 , 0.35808 , 0.3684 , -0.0 , 0.72044 , 12.0 , 2.0 , 14.0 , 13.0 , 0.0 , 0.00055 , 5.69304 , -1
10015937 , 1 , 59.6585348 , 1043.8 , 168.08764 , 21.2 , 2.94410791728 , 23.466885412 , 1.86914892 , 971.604062844 , 4.79848 , 8e-05 , 5.3331 , 0.00038 , 0.0408 , 0.05994 , 9.99999 , 0.49524 , 0.53604 , -0.0 , 0.15869 , 49.0 , 15.0 , 58.0 , 56.0 , 0.0 , 0.00054 , 4.97303 , -1
10015937 , 2 , 59.6585348 , 1043.8 , 168.08764 , 21.2 , 2.94410791728 , 23.466885412 , 2.49748142 , 1036.03558247 , 4.28732 , 7e-05 , 4.79802 , 0.00046 , 0.03138 , 0.15712 , 9.99997 , 0.82255 , 0.85393 , -0.0 , 0.19171 , 39.0 , 11.0 , 40.0 , 41.0 , 0.0 , 0.00049 , 5.89293 , -1
10015937 , 3 , 59.6585348 , 1043.8 , 168.08764 , 21.2 , 2.94410791728 , 23.466885412 , 0.71057407 , 1216.33078544 , 4.80033 , 7e-05 , 5.34159 , 0.00072 , 0.01141 , 0.18777 , 9.99999 , 0.79968 , 0.81109 , -0.0 , 0.17513 , 17.0 , 17.0 , 15.0 , 16.0 , 0.0 , 0.0005 , 5.89094 , -1
10015937 , 4 , 59.6585348 , 1043.8 , 168.08764 , 21.2 , 2.94410791728 , 23.466885412 , 2.86643532 , 1307.43306868 , 4.84647 , 7e-05 , 5.17497 , 0.00085 , 0.01158 , 0.17572 , 9.99997 , 0.42419 , 0.43577 , -0.0 , 0.22323 , 15.0 , 11.0 , 19.0 , 18.0 , 7e-05 , 0.00051 , 6.37629 , -1
10015937 , 5 , 59.6585348 , 1043.8 , 168.08764 , 21.2 , 2.94410791728 , 23.466885412 , 10.3457052 , 1350.87577535 , 4.33346 , 8e-05 , 4.83147 , 0.00087 , 0.01063 , 0.25763 , 9.99998 , 0.81305 , 0.82369 , -0.0 , 0.64114 , 12.0 , 2.0 , 10.0 , 10.0 , 0.0 , 0.00054 , 5.63338 , -1
10015937 , 6 , 59.6585348 , 1043.8 , 168.08764 , 21.2 , 2.94410791728 , 23.466885412 , 0.61518184 , 1374.95088265 , 4.34295 , 7e-05 , 4.63251 , 0.00075 , 0.01103 , 0.24581 , 9.99998 , 0.64498 , 0.65601 , -0.0 , 0.25568 , 13.0 , 13.0 , 15.0 , 15.0 , 0.0 , 0.00049 , 5.56828 , -1
10015937 , 7 , 59.6585348 , 1043.8 , 168.08764 , 21.2 , 2.94410791728 , 23.466885412 , 0.82235386 , 1440.94961784 , 5.47949 , 7e-05 , 6.11397 , 0.00057 , 0.0199 , 0.18765 , 10.00004 , 0.27853 , 0.29844 , -0.0 , 0.21545 , 27.0 , 27.0 , 27.0 , 32.0 , 0.0 , 0.00049 , 6.07643 , -1
10015937 , 8 , 59.6585348 , 1043.8 , 168.08764 , 21.2 , 2.94410791728 , 23.466885412 , 4.392628 , 1531.50936657 , 5.03936 , 8e-05 , 5.55527 , 0.0008 , 0.01085 , 0.24819 , 10.00004 , 0.88122 , 0.89207 , -0.0 , 0.47232 , 14.0 , 7.0 , 17.0 , 18.0 , 3e-05 , 0.0005 , 5.89036 , -1
10019708 , 0 , 3.268695042 , 10091.0 , 137.4817205 , 1429.9 , 198.5745241 , 428.305480325 , 3.27017205 , 941.57442499 , 14.31693 , 0.00165 , 9.93407 , 0.00936 , 0.04624 , 0.21599 , 10.00002 , 0.69893 , 0.74517 , -4e-05 , 0.12205 , 63.0 , 9.0 , 66.0 , 52.0 , 0.00021 , 0.0004 , 106.9273 , 0.000451762661396
