rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
8181,10002049,K07270.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,19.253212800,2.4870000e-04,-2.4870000e-04,144.8407000,1.180000e-02,-1.180000e-02,0.2470,0.2080,-0.2470,1.67400,0.40400,-0.40400,2.1930e+02,3.960e+01,-3.960e+01,1.42,4.200e-01,-1.400e-01,692.0,,,54.13,46.08,-15.44,7.40,1,q1_q17_dr25_tce,6060.00,162.00,-198.00,4.495,0.050,-0.200,0.9530,0.2770,-0.0920,287.464750,46.968410,15.362
6696,10007492,K05754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,2.645596805,1.3480000e-06,-1.3480000e-06,133.7059530,4.340000e-04,-4.340000e-04,1.2390,2.8900,-0.1110,2.90950,0.02220,-0.02220,1.2727e+03,8.900e+00,-8.900e+00,167.05,2.526e+01,-4.693e+01,2452.0,,,8539.63,3248.45,-4427.83,166.80,1,q1_q17_dr25_tce,4980.00,51.00,-88.00,3.167,0.174,-0.116,5.4430,0.8230,-1.5290,290.086610,46.945202,12.375
1029,10015937,K01720.01,,CANDIDATE,CANDIDATE,0.9990,0,0,0,0,59.658534800,5.5780000e-04,-5.5780000e-04,168.0876400,6.030000e-03,-6.030000e-03,0.9560,0.0030,-0.6750,5.51400,0.35300,-0.35300,1.0438e+03,5.580e+01,-5.580e+01,3.59,3.000e-01,-1.700e-01,393.0,,,5.66,1.41,-0.81,21.20,1,q1_q17_dr25_tce,5243.00,84.00,-73.00,4.547,0.028,-0.077,0.8310,0.0690,-0.0400,293.644170,46.989761,15.742
1339,10019708,K00199.01,Kepler-490 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,3.268695042,2.6200000e-07,-2.6200000e-07,137.4817205,6.500000e-05,-6.500000e-05,0.0650,0.0810,-0.0440,3.45188,0.00218,-0.00218,1.0091e+04,7.900e+00,-7.900e+00,16.91,2.610e+00,-3.920e+00,1597.0,,,1539.00,624.72,-678.87,1429.90,1,q1_q17_dr25_tce,5927.00,80.00,-80.00,4.046,0.182,-0.098,1.6910,0.2610,-0.3920,295.025670,46.956001,14.879
1383,10019708,K00199.02,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,8.784582740,7.2520000e-05,-7.2520000e-05,135.3781200,6.780000e-03,-6.780000e-03,0.6810,0.0050,-0.5310,6.45900,0.24400,-0.24400,2.1080e+02,9.200e+00,-9.200e+00,2.60,4.000e-01,-6.000e-01,1149.0,,,411.55,167.07,-181.54,25.90,2,q1_q17_dr25_tce,5927.00,80.00,-80.00,4.046,0.182,-0.098,1.6910,0.2610,-0.3920,295.025670,46.956001,14.879
1140,10028792,K01574.01,Kepler-87 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,114.736580000,1.5010000e-04,-1.5010000e-04,165.1506710,9.770000e-04,-9.770000e-04,0.5950,0.0370,-0.0570,12.03550,0.09210,-0.09210,4.8500e+03,2.220e+01,-2.220e+01,12.28,1.060e+00,-8.900e-01,476.0,,,12.13,3.37,-2.43,230.60,1,q1_q17_dr25_tce,5597.00,112.00,-101.00,3.963,0.054,-0.045,1.6990,0.1470,-0.1230,297.916870,46.965130,14.600
1141,10028792,K01574.02,Kepler-87 c,CONFIRMED,FALSE POSITIVE,0.0000,1,0,0,0,191.239133000,2.4200000e-03,-2.4200000e-03,286.2203400,7.210000e-03,-7.210000e-03,0.8760,0.0050,-0.6090,16.94200,0.41300,-0.41300,1.0612e+03,2.920e+01,-2.920e+01,6.47,5.600e-01,-4.700e-01,401.0,,,6.14,1.70,-1.23,36.80,2,q1_q17_dr25_tce,5597.00,112.00,-101.00,3.963,0.054,-0.045,1.6990,0.1470,-0.1230,297.916870,46.965130,14.600
1142,10028792,K01574.03,,CANDIDATE,CANDIDATE,0.9520,0,0,0,0,5.833938570,2.2410000e-05,-2.2410000e-05,132.6342600,3.040000e-03,-3.040000e-03,0.3980,0.0450,-0.3980,4.58130,0.08450,-0.08450,1.3440e+02,8.100e+00,-8.100e+00,1.98,1.800e-01,-1.400e-01,1285.0,,,642.83,178.64,-128.56,17.60,3,q1_q17_dr25_tce,5597.00,112.00,-101.00,3.963,0.054,-0.045,1.6990,0.1470,-0.1230,297.916870,46.965130,14.600
8506,10028792,K01574.04,,CANDIDATE,CANDIDATE,0.9460,0,0,0,0,8.977288800,1.4510000e-04,-1.4510000e-04,133.4474800,9.610000e-03,-9.610000e-03,0.7020,0.2690,-0.5000,4.72000,0.31000,-0.31000,9.7500e+01,1.000e+01,-1.000e+01,1.79,1.500e-01,-1.300e-01,1113.0,,,362.75,100.80,-72.55,10.30,4,q1_q17_dr25_tce,5597.00,112.00,-101.00,3.963,0.054,-0.045,1.6990,0.1470,-0.1230,297.916870,46.965130,14.600
1032,10080248,K01722.01,Kepler-939 b,CONFIRMED,CANDIDATE,0.8200,0,0,0,0,14.878394500,1.3470000e-04,-1.3470000e-04,142.9684100,6.420000e-03,-6.420000e-03,0.7490,0.1940,-0.5340,7.49100,0.20200,-0.20200,3.2280e+02,1.610e+01,-1.610e+01,1.63,4.900e-01,-1.600e-01,692.0,,,54.19,47.65,-15.35,22.90,1,q1_q17_dr25_tce,5822.00,157.00,-174.00,4.557,0.036,-0.204,0.8370,0.2510,-0.0840,293.865600,47.026829,15.534
